Statistics South Africa
Descriptive_Electoral_Wards
Table 1
Geography by Gender
 for Person weighted
,"Male","Female","Total"
"21503012: Ward 12",3432,4197,7632
"21503013: Ward 13",4302,4929,9231
"21503014: Ward 14",4023,4695,8715
"21503015: Ward 15",3054,3609,6663
"21503016: Ward 16",3612,4512,8121
"21503017: Ward 17",3576,4098,7677
"21503018: Ward 18",3816,4380,8196
"21503019: Ward 19",4974,6159,11133
"21503020: Ward 20",5250,6021,11271
"21503021: Ward 21",5523,6129,11649
"21503022: Ward 22",4080,4770,8850
"21503023: Ward 23",3261,3660,6921
"21503024: Ward 24",3630,4233,7863
"21503025: Ward 25",3945,4695,8640
"21503026: Ward 26",4263,4944,9207
"21503027: Ward 27",2988,3453,6444
"21503028: Ward 28",4839,5697,10533
"21503029: Ward 29",4581,5352,9933
"21503030: Ward 30",4926,5859,10785
"21503031: Ward 31",4275,5007,9282
"21504001: Ward 1",4440,4893,9333
"21504002: Ward 2",3972,4800,8772
"21504003: Ward 3",3975,4815,8790
"21504004: Ward 4",3237,3894,7131
"21504005: Ward 5",3177,3723,6900
"21504006: Ward 6",2676,3069,5745
"21504007: Ward 7",3711,4464,8172
"21504008: Ward 8",2988,3705,6693
"21504009: Ward 9",2685,3225,5907
"21504010: Ward 10",4077,4698,8775
"21504011: Ward 11",3948,4731,8679
"21504012: Ward 12",4221,5094,9312
"21504013: Ward 13",3579,4683,8262
"21504014: Ward 14",3267,3696,6963
"21504015: Ward 15",1809,2211,4020
"21504016: Ward 16",2934,3504,6435
"21504017: Ward 17",3342,4005,7347
"21504018: Ward 18",3861,4497,8358
"21504019: Ward 19",4938,5691,10626
"21504020: Ward 20",4650,5265,9915
"21505001: Ward 1",4539,5430,9966
"21505002: Ward 2",3633,4407,8040
"21505003: Ward 3",3516,3969,7491
"21505004: Ward 4",3615,4212,7824
"21505005: Ward 5",4059,4575,8634
"21505006: Ward 6",4482,5535,10020
"21505007: Ward 7",3771,4275,8046
